=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAVm3AF0UAoMKWOAJjXAE9GBaDAOmNaxNccfIwCMJTCgAsw0fFKTysvA3gTW5IdTry45dB3jceADkUCUpOWsRKrVWvSNwThC+iwZhUsTYJwYhpkKH6aKN469AEIrC5ukmIUqgH86ABsFFF6LIZcvGngSUIp4oky-owe4JkqIrbBNSjaTnoG7Plm1UnWpfDIrJnW2R3GBd0RPklh9QFBkpkzEADGjOAAxIRb2+ALkyMxcZ2ErKvwG8uXV7usLDh9cIUnOAeMuaOuBZIsJbNltxUHtUTnU9I0Ti1dLZ2vFeOZvg4HgN0Cdhq0Pm52md0JttlsbugWN5VNiLldLgTwCwlg1waEfCdIujDnkxnxJLF7n8iJJTFlmW8jmzCrFfmCOYDufpeZLxaw+ZDolUhZ8uhLelLeNJWABnAC2awATgB7AAuAH0AKbLIKU7WkAA6ADtna6Xe63c7LTSArxkeAAJxWT0e0Nuy1i2x+3UG86UvloqGwvhYtbrACGmazPn1RrNVptfglGBDWDEIZDluJ9VJ63JFJja0psR94kafJptaz2cb5xNFuttplJdD0wroctXL0nDE7VzceLpcmDzE-r5I7dSSZUJZGK+rG1rZ5rCDfle8HeycK2urcvQ2sjAWqQcf-3QQe39ENb3ehqfPFidBDRcaQeGkdoAAtxB4aptRedE-0YdIwNONN61WVgoPUGDJG1WQRm-YwmF-AJTB4TJ0ACGceCwdAu27dMfCwwIcJPfkoUQ+AAz4VgqLEGjMOg58KkoSggA
13:30:39: [INFO] Routing SW51 with D51
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW51:2' at (269240000, 95885000) with pad 'D51:2' at (271780000, 103565000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(269240000, 95885000), (269240000, 101025000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(269240000, 101025000), (271780000, 103565000)]
13:30:39: [INFO] Routing SW50 with D50
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW50:2' at (288290000, 103505000) with pad 'D50:2' at (290830000, 111185000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(288290000, 103505000), (288290000, 108645000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(288290000, 108645000), (290830000, 111185000)]
13:30:39: [INFO] Routing SW49a with D49
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW49a:S2' at (311800000, 106085000) with pad 'D49:2' at (309880000, 111185000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(311800000, 106085000), (311800000, 109265000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(311800000, 109265000), (309880000, 111185000)]
13:30:39: [INFO] Routing SW49 with D49
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW49:2' at (307340000, 103505000) with pad 'D49:2' at (309880000, 111185000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(307340000, 103505000), (307340000, 108645000)]
