=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmngHZUjMAWc8AXTQCgwpcAmVMRzwAtCSQAOWikak0fSnGq48SErLJNFy+CgbEWCqr3ir1BtFo7cdcPekzC4YydI1oU2k4n3M0edi4eGjhxB2xcFykZYjISAB0AOySkuMU5AOMQvFUYv08LADYU5MS8NBJAm29CwUdI8UK+PLli0qS+Cq9s33AWBPbE-qrg3GRwpxc3YnKKLNx6FvQKa1H4AQmG1xbyoyVvM1lyrXndXvQ920PidCsg23shLeijj26x8-8R2zCn0XEXjMKiVUl0gZl9tlcrJ0AVMOg2iVypVVrZapt-kgmjs0IjSggwZCVJ8BiV0Cj7t5xn9nOJpphOnMiXReoVWKjvBsaVF6eBOpcDmpZJ0Tsy7Kz5O9TELiGy7tUQo96pjAQy3qcfC02QEOSFfsradthcDBmliJ0IVdobL1Zg2Xiksjvt4WAaXHhmrICUy0b1aOzKXq6hEVdJiAATXAAFwATgBXACm7lJpTIloO1MwkfgscTshYDrKX11uH14GzcFzSaBKdB6eymfL0fj1fhuJBRZ1gdw6O54g94QAzgBbXDgGMAeyjAH0EwBjHLgdyFi0djsJyoa61+WtDfxrwYJhQl+BlyYAsOYEdj9IVqvG3dpqX4Rt3luye0d8pdhU94PnpAB2Ia94HHKdZwXAJXkLAk8APEoE3rYklhNMl90GdcVm7eBewNcRmmA0dQNvZs81idtBn5Z9cgjUjWz6VDSkMZ0Qlwpsc3fIEYMlLdgzfMi213C5nRjFRwhjEImGDGMnAATkA4gQhcDFnCkiQWgJY9KVE+AEDITAJNwPRXXHOSkAJTAlNUEzJj0EhwgAC2Qr1i20yI9OIQzTFUcpLNLJAbMiOzHOc4h-U8DkdOcPBxOyToDLM3zvGU7k1Jaf0rDYIA
13:35:23: [INFO] Adding track segment (B.Cu): [(297815000, 92551250), (297815000, 97691250)]
13:35:23: [INFO] Adding track segment (B.Cu): [(297815000, 97691250), (300355000, 100231250)]
13:35:23: [INFO] Routing SW40 with D40
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW40:2' at (278765000, 90170000) with pad 'D40:2' at (281305000, 97850000) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(278765000, 90170000), (278765000, 95310000)]
13:35:23: [INFO] Adding track segment (B.Cu): [(278765000, 95310000), (281305000, 97850000)]
13:35:23: [INFO] Routing SW39 with D39
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW39:2' at (259715000, 92551250) with pad 'D39:2' at (262255000, 100231250) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(259715000, 92551250), (259715000, 97691250)]
13:35:23: [INFO] Adding track segment (B.Cu): [(259715000, 97691250), (262255000, 100231250)]
13:35:23: [INFO] Routing SW38 with D38
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW38:2' at (240665000, 94932500) with pad 'D38:2' at (243205000, 102612500) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(240665000, 94932500), (240665000, 100072500)]
13:35:23: [INFO] Adding track segment (B.Cu): [(240665000, 100072500), (243205000, 102612500)]
13:35:23: [INFO] Routing SW37 with D37
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW37:2' at (335915000, 78263750) with pad 'D37:2' at (338455000, 85943750) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(335915000, 78263750), (335915000, 83403750)]
13:35:23: [INFO] Adding track segment (B.Cu): [(335915000, 83403750), (338455000, 85943750)]
13:35:23: [INFO] Routing SW36 with D36
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW36:2' at (316865000, 78263750) with pad 'D36:2' at (319405000, 85943750) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(316865000, 78263750), (316865000, 83403750)]
13:35:23: [INFO] Adding track segment (B.Cu): [(316865000, 83403750), (319405000, 85943750)]
13:35:23: [INFO] Routing SW35 with D35
13:35:23: [INFO] Using internal autorouter method
