=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBjW2BiAQxNPAF8twEMEAdAO0cZoXCwj3nAJz-4pUaARmZMGrdthoAmMS1pTqGAMzyJioRgAs6yVrR7NcCNHjDUaStm3Hwt4Utsynq19qmd8PUmWv2MNHAAXQwAKDAofGF-YVojNg5cb15+PkFsONFxBUTMjDkcjTzwOLUi-XzdCrs4wxq802jLf0wSzEcqTBcut16PXqDQiKbzJBlMbC5CXxIM8Bl4hs9k7lS0+cXssUqFgoSlRfKdu0Xqk5LF+ouVszgLdH8ANjsXzuwXno++74GTVZms3mLyG4UidwsVioKiWN2hGG24l2MMKcOwMOOSLsMPOWMaAJ4aXS-hh1zxt2ajyoKGMXjWsyI8xp73ANK+rJ+HL+HNBIyi8Bk40m4AAnvhkFDpLCse86YQiXh-CIjCzZCqlDRMQpVTp1QZ1cNwfhFlMUgz5nF6DVZQT1gJYgi9flUTKlGUnaVdda3YEDWDRvdLFRpj4gf5FlaTjaQ3biVQth7Fi7tYdVImvVHU2SU4aA5Dg2aw-DI674YiU-DkxoWRiPTinXLCUT5qSDcEgA
13:28:50: [INFO] Routing SW41 with D41
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW41:2' at (293052500, 71120000) with pad 'D41:2' at (295592500, 78800000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(293052500, 71120000), (293052500, 76260000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(293052500, 76260000), (295592500, 78800000)]
13:28:50: [INFO] Routing SW40 with D40
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW40:2' at (274002500, 71120000) with pad 'D40:2' at (276542500, 78800000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(274002500, 71120000), (274002500, 76260000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(274002500, 76260000), (276542500, 78800000)]
13:28:50: [INFO] Routing SW39 with D39
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW39:2' at (254952500, 71120000) with pad 'D39:2' at (257492500, 78800000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(254952500, 71120000), (254952500, 76260000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(254952500, 76260000), (257492500, 78800000)]
13:28:50: [INFO] Routing SW38 with D38
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW38:2' at (235902500, 71120000) with pad 'D38:2' at (238442500, 78800000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(235902500, 71120000), (235902500, 76260000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(235902500, 76260000), (238442500, 78800000)]
13:28:50: [INFO] Routing SW37 with D37
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW37:2' at (216852500, 71120000) with pad 'D37:2' at (219392500, 78800000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(216852500, 71120000), (216852500, 76260000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(216852500, 76260000), (219392500, 78800000)]
13:28:50: [INFO] Routing SW36 with D36
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW36:2' at (307340000, 52070000) with pad 'D36:2' at (309880000, 59750000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(307340000, 52070000), (307340000, 57210000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(307340000, 57210000), (309880000, 59750000)]
13:28:50: [INFO] Routing SW35 with D35
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW35:2' at (288290000, 52070000) with pad 'D35:2' at (290830000, 59750000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(288290000, 52070000), (288290000, 57210000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(288290000, 57210000), (290830000, 59750000)]
13:28:50: [INFO] Routing SW34 with D34
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW34:2' at (269240000, 52070000) with pad 'D34:2' at (271780000, 59750000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(269240000, 52070000), (269240000, 57210000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(269240000, 57210000), (271780000, 59750000)]
13:28:50: [INFO] Routing SW33 with D33
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW33:2' at (250190000, 52070000) with pad 'D33:2' at (252730000, 59750000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(250190000, 52070000), (250190000, 57210000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(250190000, 57210000), (252730000, 59750000)]
13:28:50: [INFO] Routing SW32 with D32
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW32:2' at (231140000, 52070000) with pad 'D32:2' at (233680000, 59750000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(231140000, 52070000), (231140000, 57210000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(231140000, 57210000), (233680000, 59750000)]
13:28:50: [INFO] Routing SW31 with D31
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW31:2' at (212090000, 52070000) with pad 'D31:2' at (214630000, 59750000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(212090000, 52070000), (212090000, 57210000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(212090000, 57210000), (214630000, 59750000)]
13:28:50: [INFO] Routing SW30 with D30
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW30:2' at (302577500, 33020000) with pad 'D30:2' at (305117500, 40700000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(302577500, 33020000), (302577500, 38160000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(302577500, 38160000), (305117500, 40700000)]
13:28:50: [INFO] Routing SW29 with D29
