=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JAaO4Ces4AGFANm3AGMDwBiAQwcfHIHcCAmAX3IUxIB0AdkKGFMCcAF1MAKDBQCCABwoAzFhz54AWmIbK1GhWMnw3HLzRTZ86PATp9WuLtLkq8WoybnwYwsxwEB44RibGZjyYAdJyEHaIqo7kzq4AnL68SIF+fIHBht4MkRZ8IsKC-jliaOWi0dZxCvYoACwpBK68OGwtSL7sDdgFnmHhJeCqDbG2iklkmp3EGeRT2eSDJDlTW8MGo0V0Ob2IKP0bmFZ7CcTs+iG04RG+U1Yz8YptHTrE3fuhh2OnwwvnaAT2DzGpl8WBiNg+9iSSicSxQKxwWHWOHauyC-y8RSB8HYKDuoMu+WaRFJ90MTyoMIp7ypDju3xcv3chUJrA4NN8ZHBeMh9ImZAkzISCCSKJ+aN8aEwWPAZFxIwBPJ6wPOOEVapZZy5o1FCqZ8JZaENizlGCNoTQDsdYrNTSlNPZrnUdoJ3iJpzJ5CUQzxJ1ZOvAaWm5qlrXd1o58vIkeVQa2ksUJCteFRtpwkMdTt8kdx4CDVxwkbe5oATooxDhqwkpg3nLG2TgblnUkl6-ioc9yGIJFFhzgxOwcrwJ4PMKpGrN7ANxNtlxdpzgphP0y0A9jVxj9+B2uvwFgt9HtabRyrMCfFSeyHPt3BBlriXHwCwJ+-c+BBAQABdqwAVwAUyLcQ6kEXghQRal9FDfkk1vKCYPnODX0-T5dwjSCKiEXhRwgE4SXbT9vxfZIcH-eAgLAiD2FQ5dmVrHQEF7RtFBJfQEm0biPRJVpw14OcZ1aSdMHEmdsmfbQexeWcckGKSN0kpSlXQqk+McRlRL3FTTzU8h2hki8dCSHDFT0m8DMVAyyFM11Oh7Xkd3DSNVCgwZYKwlpfy-PkyJouA6PA5DWi8qMnPMlBe0Q-yKNI-RgtCiDPPwwRBiIqk9Fc-13MkyKJUkIA
13:37:33: [INFO] Placing additional elements for SW35
13:37:33: [INFO] Placing additional elements for SW34
13:37:33: [INFO] Placing additional elements for SW33
13:37:33: [INFO] Placing additional elements for SW32
13:37:33: [INFO] Placing additional elements for SW31
13:37:33: [INFO] Placing additional elements for SW30
13:37:33: [INFO] Placing additional elements for SW29
13:37:33: [INFO] Placing additional elements for SW28
13:37:33: [INFO] Placing additional elements for SW27
13:37:33: [INFO] Placing additional elements for SW26
13:37:33: [INFO] Placing additional elements for SW25
13:37:33: [INFO] Placing additional elements for SW24
13:37:33: [INFO] Placing additional elements for SW23
13:37:33: [INFO] Placing additional elements for SW22
13:37:33: [INFO] Placing additional elements for SW21
13:37:33: [INFO] Placing additional elements for SW20
13:37:33: [INFO] Placing additional elements for SW19
13:37:33: [INFO] Placing additional elements for SW18
13:37:33: [INFO] Placing additional elements for SW17
13:37:33: [INFO] Placing additional elements for SW16
13:37:33: [INFO] Placing additional elements for SW15a
13:37:33: [INFO] Placing additional elements for SW15
13:37:33: [INFO] Placing additional elements for SW14
13:37:33: [INFO] Placing additional elements for SW13
13:37:33: [INFO] Placing additional elements for SW12
13:37:33: [INFO] Placing additional elements for SW11
13:37:33: [INFO] Placing additional elements for SW10
13:37:33: [INFO] Placing additional elements for SW9
13:37:33: [INFO] Placing additional elements for SW8
13:37:33: [INFO] Placing additional elements for SW7
13:37:33: [INFO] Placing additional elements for SW6
13:37:33: [INFO] Placing additional elements for SW5
13:37:33: [INFO] Placing additional elements for SW4
13:37:33: [INFO] Placing additional elements for SW3
13:37:33: [INFO] Placing additional elements for SW2
13:37:33: [INFO] Placing additional elements for SW1
13:37:33: [INFO] Routing SW71 with D71
13:37:33: [INFO] Using internal autorouter method
13:37:33: [INFO] Routing pad 'SW71:2' at (386397500, 142557500) with pad 'D71:2' at (388937500, 150237500) using coordinate system rotated by 0 degree(s)
13:37:33: [INFO] Adding track segment (B.Cu): [(386397500, 142557500), (386397500, 147697500)]
13:37:33: [INFO] Adding track segment (B.Cu): [(386397500, 147697500), (388937500, 150237500)]
13:37:33: [INFO] Routing SW70 with D70
13:37:33: [INFO] Using internal autorouter method
13:37:33: [INFO] Routing pad 'SW70:2' at (348297500, 142557500) with pad 'D70:2' at (350837500, 150237500) using coordinate system rotated by 0 degree(s)
13:37:33: [INFO] Adding track segment (B.Cu): [(348297500, 142557500), (348297500, 147697500)]
