=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ34CMRcp5VATLQTR4SNOmx4s-buHwBmWfgAsSrNW694A6pLlYAbGsZqAHGoCcm8GW2VBezoXZYOXFxxkfFxG33u6HsoAOgB2YWH4zjx+doFSHNQR4aFR1rYUNHQiCIiQ+QWyAO7k-HQAJuQALgBOAK4ApnrJka7gALpYAFBg4ACe-kL0oijiyGwIHATpg3pT7jE5SAWFc9KyUz6TWKp0Uxp7hhtYJofmh1aHHNHg8wu3rl7bHFsQS6PixaVrHLsxGVR4g9Eh1usBwGVolpMkMSvAODQ9GUFm8GHkVtAkes6GUthCdrIygcEGUjDiToSsOcSVhLjTrpS3IynviXtZ3mNxnQ4XAEUDkSEUmEplDYjCsSDfBk+dzyAjBHQABalbkyeFZBCKtW8ugkbUAWh0enkrkFyXmoJ64BNooBGvAPIRjCBJpRw1yGMxdBNLJNeJNf2t6lkJrJCBNp3DVJDtJjDO9rnurqeqJGLFYsvg-ACxtNLVCIpmcWyaM5EyDkv+swTL3zFs6VuU0ylg0zcGzDjoTY4+ch7LRnvLTZZTbxTcDTeJ4CbYenFK70YXdLn8YQ3bdHLGX3Vzr03deYr5e9cGgbvWl1EozroA3ghqvQ3e6eYQ9Nlt6t7g94VwlLW70tC2q2CCOjmdC0G6oGdggtApg6cpgTBWAHjyBiIeAtAGPmNrWKBQIQbg+ZNqKeEAYmRHTGe0K-A+N7kPe16-mmz7lhBeIQYGEGnmC1H2p+36Pn+nxtvKQLdr2bQLp4ElutK9o8h2+E7NhkkxFBSlYUKoSurhpQPmRpgqfcBEUcZ5Fad2sgQfwpnvtCl4-vB8BodBGHqCpMhUWKDmwnprm0GaKR+rp6r+e5WnBb4Cn6eBVIqYo7TtEAA
13:29:03: [INFO] Add D88 footprint
13:29:03: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:03: [INFO] Add ST88 footprint
13:29:03: [INFO] Add SW89 footprint
13:29:03: [INFO] Add D89 footprint
13:29:03: [INFO] Add SW89a footprint
13:29:03: [INFO] Add SW90 footprint
13:29:03: [INFO] Add D90 footprint
13:29:03: [INFO] Add SW90a footprint
13:29:03: [INFO] Add SW91 footprint
13:29:03: [INFO] Add D91 footprint
13:29:03: [INFO] Add SW92 footprint
13:29:03: [INFO] Add D92 footprint
13:29:03: [INFO] Add SW93 footprint
13:29:04: [INFO] Add D93 footprint
13:29:04: [INFO] Add SW94 footprint
13:29:04: [INFO] Add D94 footprint
13:29:04: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:04: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:04: [INFO] Layout offset: (28575000, 28575000)
13:29:04: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:04: [INFO] Placing additional elements for SW94
13:29:04: [INFO] Placing additional elements for SW93
13:29:04: [INFO] Placing additional elements for SW92
13:29:04: [INFO] Placing additional elements for SW91
13:29:04: [INFO] Placing additional elements for SW90a
13:29:04: [INFO] Placing additional elements for SW90
13:29:04: [INFO] Placing additional elements for SW89a
13:29:04: [INFO] Placing additional elements for SW89
13:29:04: [INFO] Placing additional elements for SW88
13:29:04: [INFO] Placing additional elements for SW87a
13:29:04: [INFO] Placing additional elements for SW87
13:29:04: [INFO] Placing additional elements for SW86a
13:29:04: [INFO] Placing additional elements for SW86
13:29:04: [INFO] Placing additional elements for SW85
13:29:04: [INFO] Placing additional elements for SW84
13:29:04: [INFO] Placing additional elements for SW83
13:29:04: [INFO] Placing additional elements for SW82
