=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBmDDwBdDAKDClkVS3AGNLwBiAdlbfE2wX3CwmnjIATOhrcAjLzj9KwlDXrwmtFao5iMQqeG45t3ACz6MKYwDYpM+ENScdGZsYAcxgJzHxBDeMnet3vT46BhY2VnUuDHEjYjIrKhE7cR4ggQT5bAB3SnFbGmTfaWClRlU1JM1tZMDsZKN8kyqMC1TKG1FahyaXBvcGzyafS3Bs+FyO8AL-IsVsULCIyaiapeiiUmBwIRSitLkaUbhc5gntwohZ5TL6O23prYwV7frsbdMabZbdtrzXro+MD0-n0-gMAUNwdMLiEwuEDj9EuC9LFyHskCcFCEAIY43HaQ42RHYPDnYpza43Gh4e54FZ4F64RpU5rDNLtOx4RzMoGMkGMsHEqKktLjDnLdZxChjJAiTElXF4+HSongAxRYaHXIqtVQkY5GUTNU1eLIDJkpiwrlZfXajAveIoJDca3Kw0YEHQ+UKrH4m1ugUQTUGuxqiHfQTUbCXUrXRah+6hlahmIbCAAJ0oGOwabSrgNNDTAE9KI6s+Bi-AALSEs0E9Fulwok35qMw2G+6zBmhqxxN8AZqtltLV+s0CtwEfO82Mb0+pVwGwnEONPvD9pyuaWjsLrvYNUWQiEIA
13:34:30: [INFO] Routing pad 'SW65:2' at (258857798, 155923991) with pad 'D65:2' at (252096888, 160365172) using coordinate system rotated by 75.0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(258857798, 155923991), (253892939, 157254319)]
13:34:30: [INFO] Adding track segment (B.Cu): [(253892939, 157254319), (252096888, 160365172)]
13:34:30: [INFO] Routing SW64 with D64
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW64:2' at (240456911, 160854494) with pad 'D64:2' at (233696001, 165295675) using coordinate system rotated by 75.0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(240456911, 160854494), (235492051, 162184824)]
13:34:30: [INFO] Adding track segment (B.Cu): [(235492051, 162184824), (233696001, 165295675)]
13:34:30: [INFO] Routing SW63 with D63
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW63:2' at (189482890, 155947591) with pad 'D63:2' at (197558601, 155481869) using coordinate system rotated by 285.0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(189482890, 155947591), (194447747, 157277920)]
13:34:30: [INFO] Adding track segment (B.Cu): [(194447747, 157277920), (197558601, 155481869)]
13:34:30: [INFO] Routing SW62 with D62
13:34:30: [INFO] Using internal autorouter method
