=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoCsBfANHcAGDBGcLCaeAJiR023wPAF0MAoMKWOAZi3AE92BaHEgDs6bngAsROCXYBOauAkYpjFrPLc+8QSLHY8KaRrj5FeDsbbxhi5ZeLXTdjEbWtScFFoFCAHKLmGGRWnvpKwQzMrNpwughk3tgAxuzgAMQAhtk54EHCVqnwGcmlZXniGAih7BKoQTg15JSKtI2OnnXhytWORdhZOdkV2MoF7iZc2LG6otz9JWWlI+C0Uh3yit6q0SZkPjpCgdy0RhvwZicYDjJOttzeNyaX2N5uu05JvL5IAeG0IXOXi2kQm30OSASXwWgyGK1oBT6aXSS2WrSqTVMHBBvVuMKGwxB4w+nim4LiR2hyNRqUU+3Wt08Cm4CBUUXUTn20x+x2w+zOjPYL3A+yed0UrLFnmFrPeHLCBwpv15IsiQPCrJCYJmQih82RBMyK32iLx1NRxoxQPw2JZVrNxVhuQlGGJ8vYFC+Ovq3C4DOeQio3GEbLBACdOtww7E-Eh8HNsJ5dF6BHUECquJZw9KyUmhCmdGmVSGsx8w0KvhHatw86hFfwi+EuFqy+wOHhEz8C3EKEG+QQADoAO2Hw7wjTBtabg5Hs-H7I8Alo3Pg+e4AAsPYouPhR3O6OHal8p-WOD7+zg98O2guTMntxhL7Pr4-b+ShIkN1vfY+r0PaIQh6FpWOY1l29YoJCKqsk+e77BOJJdooIawbO8Fvkmy7vkgn7YJu5DIb+z5DvsgGtjo7ZgRC3b8GeiQuruxFcAh7rUYRjF7sxb6xGueHftgIYcbOO5vuWOj4Me4Erj257gCGWr0EAA
13:36:02: [INFO] Adding track segment (B.Cu): [(267634131, 106885602), (270744983, 108681653)]
13:36:02: [INFO] Routing SW51a with D51
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW51a:2' at (240880330, 101512201) with pad 'D51:2' at (251682534, 115142167) using coordinate system rotated by 330.0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(240880330, 101512201), (248212828, 114212462)]
13:36:02: [INFO] Adding track segment (B.Cu): [(248212828, 114212462), (251682534, 115142167)]
13:36:02: [INFO] Routing SW51 with D51
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW51:2' at (245642830, 109761093) with pad 'D51:2' at (251682534, 115142167) using coordinate system rotated by 330.0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(245642830, 109761093), (248212828, 114212462)]
13:36:02: [INFO] Adding track segment (B.Cu): [(248212828, 114212462), (251682534, 115142167)]
13:36:02: [INFO] Routing SW50a with D50
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW50a:2' at (220979903, 115946550) with pad 'D50:2' at (234941726, 126316272) using coordinate system rotated by 315.0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(220979903, 115946550), (231349624, 126316271)]
13:36:02: [INFO] Adding track segment (B.Cu): [(231349624, 126316271), (234941726, 126316272)]
13:36:02: [INFO] Routing SW50 with D50
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW50:2' at (227715095, 122681742) with pad 'D50:2' at (234941726, 126316272) using coordinate system rotated by 315.0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(227715095, 122681742), (231349624, 126316271)]
13:36:02: [INFO] Adding track segment (B.Cu): [(231349624, 126316271), (234941726, 126316272)]
13:36:02: [INFO] Routing SW49 with D49
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW49:2' at (354965000, 90170000) with pad 'D49:2' at (357505000, 97850000) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(354965000, 90170000), (354965000, 95310000)]
13:36:02: [INFO] Adding track segment (B.Cu): [(354965000, 95310000), (357505000, 97850000)]
13:36:02: [INFO] Routing SW48 with D48
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW48:2' at (335915000, 90170000) with pad 'D48:2' at (338455000, 97850000) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(335915000, 90170000), (335915000, 95310000)]
13:36:02: [INFO] Adding track segment (B.Cu): [(335915000, 95310000), (338455000, 97850000)]
13:36:02: [INFO] Routing SW47 with D47
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW47:2' at (316865000, 80645000) with pad 'D47:2' at (319405000, 88325000) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(316865000, 80645000), (316865000, 85785000)]
13:36:02: [INFO] Adding track segment (B.Cu): [(316865000, 85785000), (319405000, 88325000)]
13:36:02: [INFO] Routing SW46 with D46
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW46:2' at (297815000, 75882500) with pad 'D46:2' at (300355000, 83562500) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(297815000, 75882500), (297815000, 81022500)]
13:36:02: [INFO] Adding track segment (B.Cu): [(297815000, 81022500), (300355000, 83562500)]
13:36:02: [INFO] Routing SW45 with D45
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW45:2' at (278765000, 80645000) with pad 'D45:2' at (281305000, 88325000) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(278765000, 80645000), (278765000, 85785000)]
13:36:02: [INFO] Adding track segment (B.Cu): [(278765000, 85785000), (281305000, 88325000)]
13:36:02: [INFO] Routing SW44 with D44
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW44:2' at (259715000, 83026250) with pad 'D44:2' at (262255000, 90706250) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(259715000, 83026250), (259715000, 88166250)]
13:36:02: [INFO] Adding track segment (B.Cu): [(259715000, 88166250), (262255000, 90706250)]
13:36:02: [INFO] Routing SW43 with D43
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW43:2' at (236117830, 93263309) with pad 'D43:2' at (242157534, 98644383) using coordinate system rotated by 330.0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(236117830, 93263309), (238687828, 97714678)]
13:36:02: [INFO] Adding track segment (B.Cu): [(238687828, 97714678), (242157534, 98644383)]
13:36:02: [INFO] Routing SW42 with D42
13:36:02: [INFO] Using internal autorouter method
