=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUfGzKFd0sAmI-AZnKwBZqUBWegNnoHZ6AOegTnoRx4sCQkIJkAuigBQYKLDgYAdGwZ4A7goRKSDVOgTZyh0QZRk8hqpZR0bTG6xscb3G3xsCiETfG2r9cBNCKVkIaHhlXQ0tFT08EiMEgnJEi3RE6wzbVMZcp2yXbLdsj2yvNB9Y3UDEkXBQuV9EHXj0CiS4Kr9WwI7TbpaavA70we1h9pQswZI+vMrwZrmRlALwDpKNlDLtiqn6iQkgA
13:33:47: [INFO] Routing SW20 with D20
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW20:2' at (173990000, 52070000) with pad 'D20:2' at (176530000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(173990000, 52070000), (173990000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(173990000, 57210000), (176530000, 59750000)]
13:33:47: [INFO] Routing SW19 with D19
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW19:2' at (154940000, 52070000) with pad 'D19:2' at (157480000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(154940000, 52070000), (154940000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(154940000, 57210000), (157480000, 59750000)]
13:33:47: [INFO] Routing SW18 with D18
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW18:2' at (135890000, 52070000) with pad 'D18:2' at (138430000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(135890000, 52070000), (135890000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(135890000, 57210000), (138430000, 59750000)]
13:33:47: [INFO] Routing SW17 with D17
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW17:2' at (116840000, 52070000) with pad 'D17:2' at (119380000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(116840000, 52070000), (116840000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(116840000, 57210000), (119380000, 59750000)]
13:33:47: [INFO] Routing SW16 with D16
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW16:2' at (97790000, 52070000) with pad 'D16:2' at (100330000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(97790000, 52070000), (97790000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(97790000, 57210000), (100330000, 59750000)]
13:33:47: [INFO] Routing SW15 with D15
13:33:47: [INFO] Using internal autorouter method
