=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcDsEBmAHQDtzyAGQ8XcIw0ilmhcAXWwCgwpY4adFno0qdOBGjwqwnHjYTwNNEppE12ACwSpA2RnnLsSTQDZNAdk0AOXfxlzR2AJyaE45wnZfVuPY6GXhr+DnAGInhI2CFRJpw8fNKIliiRxgg6XLwBgsL0AJ4CALSylukEnngEPtXYfnWx+NpKBKb0BBYd2Nbddt1u3R6thLXNCA0QAO4CaEY1zJRkYgk5YUIY9DPwCGlGaNhV4AdjBw3HMUoHOvQH7XgHXQ89V9j9z4PPw7ejrxP220Qex+xHsyQi+0INy+pmySVm+TwgN25SMjCOjDGjHOjCajGhDHi9EYT0JvTwjHehM+hO+FN+oUBG3SmMmYQhxKhSkxsMS0wEuyCeC0hyW5BqShFCDFZAljIRQvAIqoMsqkvq6qaIoJIvuSuwpJF5P1VJFNKlRyltX58CEqPoUrQMoO4jhuQQqWieCK8FKKHtwq5bvWiPAPrgfs2SIFTjiVRtQMV0Wt4GRsfA0TZgLM6eiZhl6IBMaThHjqeL6WTKbTJf+weSCBzXrDJTKlaYSmTBOTvLWyTMhVboaZue0Bdo8p2o-zLHImKLtv97Zs45T4KXWxjAf1E2dE8DxD37A4HCAA
13:35:24: [INFO] Placing additional elements for SW64
13:35:24: [INFO] Placing additional elements for SW63
13:35:24: [INFO] Placing additional elements for SW62a
13:35:24: [INFO] Placing additional elements for SW62
13:35:24: [INFO] Placing additional elements for SW61
13:35:24: [INFO] Placing additional elements for SW60
13:35:24: [INFO] Placing additional elements for SW59
13:35:24: [INFO] Placing additional elements for SW58
13:35:24: [INFO] Placing additional elements for SW57
13:35:24: [INFO] Placing additional elements for SW56
13:35:24: [INFO] Placing additional elements for SW55
13:35:24: [INFO] Placing additional elements for SW54
13:35:24: [INFO] Placing additional elements for SW53
13:35:24: [INFO] Placing additional elements for SW52
13:35:24: [INFO] Placing additional elements for SW51
13:35:24: [INFO] Placing additional elements for SW50
13:35:24: [INFO] Placing additional elements for SW49
13:35:24: [INFO] Placing additional elements for SW48
13:35:24: [INFO] Placing additional elements for SW47
13:35:24: [INFO] Placing additional elements for SW46
13:35:24: [INFO] Placing additional elements for SW45
13:35:24: [INFO] Placing additional elements for SW44
13:35:24: [INFO] Placing additional elements for SW43
13:35:24: [INFO] Placing additional elements for SW42
13:35:24: [INFO] Placing additional elements for SW41
13:35:24: [INFO] Placing additional elements for SW40
13:35:24: [INFO] Placing additional elements for SW39
13:35:24: [INFO] Placing additional elements for SW38
13:35:24: [INFO] Placing additional elements for SW37
13:35:24: [INFO] Placing additional elements for SW36
13:35:24: [INFO] Placing additional elements for SW35
13:35:24: [INFO] Placing additional elements for SW34
13:35:24: [INFO] Placing additional elements for SW33
13:35:24: [INFO] Placing additional elements for SW32
13:35:24: [INFO] Placing additional elements for SW31
13:35:24: [INFO] Placing additional elements for SW30
13:35:24: [INFO] Placing additional elements for SW29a
13:35:24: [INFO] Placing additional elements for SW29
13:35:24: [INFO] Placing additional elements for SW28
13:35:24: [INFO] Placing additional elements for SW27
13:35:24: [INFO] Placing additional elements for SW26
13:35:24: [INFO] Placing additional elements for SW25
13:35:24: [INFO] Placing additional elements for SW24
13:35:24: [INFO] Placing additional elements for SW23
13:35:24: [INFO] Placing additional elements for SW22
13:35:24: [INFO] Placing additional elements for SW21
13:35:24: [INFO] Placing additional elements for SW20
13:35:24: [INFO] Placing additional elements for SW19
13:35:24: [INFO] Placing additional elements for SW18
13:35:24: [INFO] Placing additional elements for SW17
13:35:24: [INFO] Placing additional elements for SW16
13:35:24: [INFO] Placing additional elements for SW15
13:35:24: [INFO] Placing additional elements for SW14
13:35:24: [INFO] Placing additional elements for SW13
13:35:24: [INFO] Placing additional elements for SW12
13:35:24: [INFO] Placing additional elements for SW11
13:35:24: [INFO] Placing additional elements for SW10
13:35:24: [INFO] Placing additional elements for SW9
13:35:24: [INFO] Placing additional elements for SW8
13:35:24: [INFO] Placing additional elements for SW7
13:35:24: [INFO] Placing additional elements for SW6
13:35:24: [INFO] Placing additional elements for SW5
13:35:24: [INFO] Placing additional elements for SW4
13:35:24: [INFO] Placing additional elements for SW3
13:35:24: [INFO] Placing additional elements for SW2
13:35:24: [INFO] Placing additional elements for SW1
13:35:24: [INFO] Routing SW90 with D90
13:35:24: [INFO] Using internal autorouter method
13:35:24: [INFO] Routing pad 'SW90:2' at (388302500, 156845000) with pad 'D90:2' at (390842500, 164525000) using coordinate system rotated by 0 degree(s)
13:35:24: [INFO] Adding track segment (B.Cu): [(388302500, 156845000), (388302500, 161985000)]
13:35:24: [INFO] Adding track segment (B.Cu): [(388302500, 161985000), (390842500, 164525000)]
13:35:24: [INFO] Routing SW89 with D89
13:35:24: [INFO] Using internal autorouter method
13:35:24: [INFO] Routing pad 'SW89:2' at (369252500, 156845000) with pad 'D89:2' at (371792500, 164525000) using coordinate system rotated by 0 degree(s)
13:35:24: [INFO] Adding track segment (B.Cu): [(369252500, 156845000), (369252500, 161985000)]
13:35:24: [INFO] Adding track segment (B.Cu): [(369252500, 161985000), (371792500, 164525000)]
13:35:24: [INFO] Routing SW88 with D88
13:35:24: [INFO] Using internal autorouter method
