=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgCYCM3OgXwDQIAw77h7gCMRJBOZVEAHrHPgHQBMArLghbaYWyrkcg-jgDMQipLEAWKTnliOClWIBsCzWIDsQtjj0BdHAChg4A8VLjKpA3zgMmrTqQDuTMuy42a+kSFbUQQDGQRbcMtFIJj7HDUIhIDtJNSIT3hvHV8EWUNwE3NwfOsEDjs8-zxneFcKhEy4bNzwCscSwNIKkM6oiqj8pXK4qsS25NJ81In08CbvTm5wdQKisCgmJDZxAE4ADl3d8GXV-AAdADsrq8Iy8B0iG+vLu7pN+CQMdGxSVcdaswfB4vD5lo8yM8rhQyhlQUs-iIoZcYe8FmDSI82MjUTUPghEDsDkchE02BiEKtxDjKnD4OScuDFDTYfN4a1VhwWe9oJ8UOgfidMQluYj1KKEI9xS9oZR1hAAJ4uYEIXkEomHY4g+mnJ4y17VJzgRhZFX4r4CzCk9lMyH63hom2I7H2w105oUh5I10A82Evaa63wdSex6yGm+tUWjC-SUin1CVbS54O4XJl4O+XGpjiM3o1oQmm9VYulNdI35pmljPliBR-3ErWNJjkhGUiRFx30liM4Xh10hOtbfkxoMejnxsu9R5cgdd8e69OywRGIxAA
13:33:34: [INFO] Routing pad 'SW55:2' at (152558750, 90170000) with pad 'D55:2' at (155098750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Routing SW54a with D54
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW54a:2' at (107315000, 90170000) with pad 'D54:2' at (107473750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Routing SW54 with D54
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW54:2' at (104933750, 90170000) with pad 'D54:2' at (107473750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Routing SW53 with D53
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW53:2' at (59690000, 90170000) with pad 'D53:2' at (62230000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(59690000, 90170000), (59690000, 95310000)]
13:33:34: [INFO] Adding track segment (B.Cu): [(59690000, 95310000), (62230000, 97850000)]
13:33:34: [INFO] Routing SW52 with D52
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW52:2' at (328771250, 71120000) with pad 'D52:2' at (331311250, 78800000) using coordinate system rotated by 0 degree(s)
