=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:32: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheORDPEieeCpEBVAEydKpAMwTBpACwSIAD14UAdKICsZSVtlUAbAdIB2EwA4TAThP4OAraWOOzsp1de3X92adLCSP7iAv4yoQrgALqkAFDA4PgBskkhSEnh6ZECSfox8Sq8WppOSACevAC0Gqal4Li84ADEpq1t-FkuCBANiM24A4MdiW45pJ5Z3lm+AobOsnPms+MLpFPgczNIFskCO2ngO5k9jU0AhheXwzvyrHRUDkGkWncPSuCqiBp1AO68orpwP4Xix7sl8glRLtuvVToMhoCoQcoZlwFDFFxYX1zpcLsMofpMZ8EBptAI-oh8OodAIoV0Ttj4QN8aMkFCJmi1rIoVsgfMIksnhz-Ot-LzrNDwBKDhLjh81CUBL0kC02q1ZBSEFSyUgABb-cniSnUgS6o1agTKc3VEqAiW3UFJR6FY1UJDK-pMjW8Kk09JUKR3JJECEMlW4vGAqTQsOe+HDaMHaOo6MYmEenG4hPPd7E0m-H3qWpR-npuFekuC8DRjnR9bR3k7LqHVktjk7dY7Xn2SU9g49wOO6i5wt1DNq9Xk-62gT2oPguJgLHhiPDeQx5dxhECdcHdeo9dp2OZq6A9eEmF5xVITWiGdIdeGO5Q52bppMhpnlY7rk-8WlqVWwlDkJXWCVuyoNNEioC9AJBJho1fDMIzOb1jWLPZnjuRDokXcAnECY8P2GJwDicOVxwnEjsjLbEUOoi8XRJe8NklOYDjmVE5iPN8JyrTVDEBOZGLfejAR7ZseyrHsOR7dYe18UN5UQYodXACovmvcBNW1P1wEfZ8NwzYiv1MQzCOUrUNDdUTVynRA7ww7YsNBBtoiiIA
13:28:39: [INFO] Add D96 footprint
13:28:39: [INFO] Add SW97 footprint
13:28:39: [INFO] Add D97 footprint
13:28:39: [INFO] Add SW98 footprint
13:28:39: [INFO] Add D98 footprint
13:28:39: [INFO] Add SW99 footprint
13:28:39: [INFO] Add D99 footprint
13:28:39: [INFO] Add SW100 footprint
13:28:40: [INFO] Add D100 footprint
13:28:40: [INFO] Add SW101 footprint
13:28:40: [INFO] Add D101 footprint
13:28:40: [INFO] Add SW102 footprint
13:28:40: [INFO] Add D102 footprint
13:28:40: [INFO] Add SW103 footprint
13:28:40: [INFO] Add D103 footprint
13:28:40: [INFO] Add SW104 footprint
13:28:40: [INFO] Add D104 footprint
13:28:40: [INFO] Add SW104a footprint
13:28:40: [INFO] Add SW105 footprint
13:28:40: [INFO] Add D105 footprint
13:28:40: [INFO] Add SW106 footprint
13:28:40: [INFO] Add D106 footprint
13:28:40: [INFO] Add SW107 footprint
13:28:40: [INFO] Add D107 footprint
13:28:40: [INFO] Add SW108 footprint
13:28:40: [INFO] Add D108 footprint
13:28:40: [INFO] Add SW109 footprint
13:28:40: [INFO] Add D109 footprint
13:28:40: [INFO] Add SW110 footprint
13:28:40: [INFO] Add D110 footprint
13:28:40: [INFO] Add SW111 footprint
13:28:40: [INFO] Add D111 footprint
13:28:40: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:40: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:40: [INFO] Layout offset: (28575000, 28575000)
13:28:40: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:40: [INFO] Placing additional elements for SW111
