=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbPc8AXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMoSMATnWsyCpTVL0mLEnBRdsfeIKSjx1DCgNWAbNtdDzzCHs4R2duAGM2cABiEVi46XAAdzkfZRwDCPhosJzc8BMMMyJDOFIVVJopYszsKIBDBsaE5KMXZVICBgCS7xRuIMdPdj7sGuzcnPydTw82cra8EX9LNmQR3gEKMSVSfFmyCjbd2i6V+E51geFt7l2qmRL5RVvVfbgtI703p53Cs1ONNZbBsHNdPu5il5Urs-ACQcEweFIvVGg1milPulqsiJpNfkUHlYytDCvcIGMUaj0a18Z0LIDev1NkghusKbiItwABYY34zSFzYE8mkvJZwqxrJmgpA3bDsPYCg6peUneklC5ShFOWXgeVkx7GbjytSK97Kr6mn5Gv7LQE2S7M5xKeUQwlsXrOjCwtVXbVs5GotHcFqlc1Yh7s3FTOWFb7zT2kfUUwN1amhtoqundCXA30IMRIrJRDnR8AIBVupVtcuq7NsDV2R068v6omG7Dlk2Vs3Vi3dq0dm3itj2zUhZtuN4e7jl73dX2hUYBwNp+S98PknFRpQ1uOpGtJ5dU4O8meFLNnRC55n5toqCuA8ipe+1y8N+Hju8YVtyC5KF--GqViHGOWxfuG4AvnuX6JgkL4Xo+kqNtKIgqF++jDvANjDKBMpfmocIAE6rHg2CEVC6yEUE5Q4dgbakR+A66hg-KDjMmGhgxFJxPE3L1v+k7YkWKYJMKHACexarEQ4CAMeRcjlnRAiKYx7ZlhgSzWmKQHKXx5wCZpEbIjxsSifx3D3rCdBAA
13:30:04: [INFO] Placing additional elements for SW46
13:30:04: [INFO] Placing additional elements for SW45
13:30:04: [INFO] Placing additional elements for SW44
13:30:04: [INFO] Placing additional elements for SW43
13:30:04: [INFO] Placing additional elements for SW42
13:30:04: [INFO] Placing additional elements for SW41
13:30:04: [INFO] Placing additional elements for SW40
13:30:04: [INFO] Placing additional elements for SW39
13:30:04: [INFO] Placing additional elements for SW38
13:30:04: [INFO] Placing additional elements for SW37
13:30:04: [INFO] Placing additional elements for SW36
13:30:04: [INFO] Placing additional elements for SW35
13:30:04: [INFO] Placing additional elements for SW34
13:30:04: [INFO] Placing additional elements for SW33
13:30:04: [INFO] Placing additional elements for SW32
13:30:04: [INFO] Placing additional elements for SW31
13:30:04: [INFO] Placing additional elements for SW30
13:30:04: [INFO] Placing additional elements for SW29
13:30:04: [INFO] Placing additional elements for SW28
13:30:04: [INFO] Placing additional elements for SW27
13:30:04: [INFO] Placing additional elements for SW26
13:30:04: [INFO] Placing additional elements for SW25
13:30:04: [INFO] Placing additional elements for SW24
13:30:04: [INFO] Placing additional elements for SW23
13:30:04: [INFO] Placing additional elements for SW22
13:30:04: [INFO] Placing additional elements for SW21
13:30:04: [INFO] Placing additional elements for SW20
13:30:04: [INFO] Placing additional elements for SW19
13:30:04: [INFO] Placing additional elements for SW18
13:30:04: [INFO] Placing additional elements for SW17
13:30:04: [INFO] Placing additional elements for SW16
13:30:04: [INFO] Placing additional elements for SW15
13:30:04: [INFO] Placing additional elements for SW14
13:30:04: [INFO] Placing additional elements for SW13
13:30:04: [INFO] Placing additional elements for SW12
13:30:04: [INFO] Placing additional elements for SW11
13:30:04: [INFO] Placing additional elements for SW10
13:30:04: [INFO] Placing additional elements for SW9
13:30:04: [INFO] Placing additional elements for SW8
13:30:04: [INFO] Placing additional elements for SW7
13:30:04: [INFO] Placing additional elements for SW6
13:30:04: [INFO] Placing additional elements for SW5
13:30:04: [INFO] Placing additional elements for SW4
13:30:04: [INFO] Placing additional elements for SW3
13:30:04: [INFO] Placing additional elements for SW2
