=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4AOVTbFfcAXQwCgwpY4AmVLcAT1YFocSUgHZ0XPG0JxirAIxIclXBgAsUmfABsFLtTVEW8eYt0ZJ9JhrgpO2XvAFDRSvCnWG4KnVQxuLzEjh5ajt+QRExbDxZd0DZDkjwahj-K0EQnjCnDIBjVnAAYmFikvAXDBxYuS9c-IKchsay00rUj2QM+zhHRNkaA0DyRM0aNsCEri7HCKU+yQG5BVnVKq1vcBH9aQ9jJRHzRgDWG06sma4+twX4Gr3fOkOrYMmz5wuMGOughLuUx490i8HOFRFw8vBCgBDaEw5rYPqVL6yGpguqNJp3Vr-QIdIHddJKNj9baDdbCUbY1gTULA7KEsyrIJLLhErZWbSJclsnbM7Dkg6WDwnPHTN7YIlXEmsW5ccl+SlGWyZWnncUfRnxMnqsasQE0-HZVEQgow2H0xFSowo7Dg7D1dF5JTkrGCwIckWCMXgFT3L4-LgATnuOvguP1ji9CGJViGSlIFNdVKVUxBiSj80tTJM2Cj3Ld63jecW2fA8YFR3gwvDqaUUclVhl2Hj8sTitOKsj6qR-qb2oVcD1yoNESNdtN0Lh4CjFqejdLFQercQHqQCC9Pr+S591aQAfXDK+wnWQYz4CDm4r1hXAaUPoIX0HtsKJVKXAAFotEj6i-BqeAP22ShBj+A5Kk+JrjpOQYELQtBAA
13:33:04: [INFO] Adding track segment (B.Cu): [(297815000, 90170000), (297815000, 95310000)]
13:33:04: [INFO] Adding track segment (B.Cu): [(297815000, 95310000), (300355000, 97850000)]
13:33:04: [INFO] Routing SW50 with D50
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW50:2' at (316865000, 92551250) with pad 'D50:2' at (319405000, 100231250) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(316865000, 92551250), (316865000, 97691250)]
13:33:04: [INFO] Adding track segment (B.Cu): [(316865000, 97691250), (319405000, 100231250)]
13:33:04: [INFO] Routing SW49 with D49
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW49:2' at (335915000, 97313750) with pad 'D49:2' at (338455000, 104993750) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(335915000, 97313750), (335915000, 102453750)]
13:33:04: [INFO] Adding track segment (B.Cu): [(335915000, 102453750), (338455000, 104993750)]
13:33:04: [INFO] Routing SW48 with D48
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW48:2' at (354965000, 99695000) with pad 'D48:2' at (357505000, 107375000) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(354965000, 99695000), (354965000, 104835000)]
13:33:04: [INFO] Adding track segment (B.Cu): [(354965000, 104835000), (357505000, 107375000)]
13:33:04: [INFO] Routing SW47 with D47
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW47:2' at (259715000, 75882500) with pad 'D47:2' at (262255000, 83562500) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(259715000, 75882500), (259715000, 81022500)]
13:33:04: [INFO] Adding track segment (B.Cu): [(259715000, 81022500), (262255000, 83562500)]
13:33:04: [INFO] Routing SW46 with D46
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW46:2' at (278765000, 73501250) with pad 'D46:2' at (281305000, 81181250) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(278765000, 73501250), (278765000, 78641250)]
13:33:04: [INFO] Adding track segment (B.Cu): [(278765000, 78641250), (281305000, 81181250)]
13:33:04: [INFO] Routing SW45 with D45
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW45:2' at (297815000, 71120000) with pad 'D45:2' at (300355000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(297815000, 71120000), (297815000, 76260000)]
13:33:04: [INFO] Adding track segment (B.Cu): [(297815000, 76260000), (300355000, 78800000)]
13:33:04: [INFO] Routing SW44 with D44
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW44:2' at (316865000, 73501250) with pad 'D44:2' at (319405000, 81181250) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(316865000, 73501250), (316865000, 78641250)]
13:33:04: [INFO] Adding track segment (B.Cu): [(316865000, 78641250), (319405000, 81181250)]
13:33:04: [INFO] Routing SW43 with D43
13:33:04: [INFO] Using internal autorouter method
