=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGcC2ssAnAewBcB9AUwGMEFwBfTcABnWQB0A7b3n-vt0otwAXXQAoMOACeBALQsUAdgxZqBcAGJluveGZ5NjZmxGYIG+Nuq27JrG3qn0AJgOP0AZg+t0AFl82JCD0ADZQ5VCADlCATlCEc086RPcLcCssLQBDPPzfAHcCVyYU-0EuMw8IaHhXZiybO1sHPwQvSqdEioEq9jFJaSbc-LyiggQ0MvAEdGTLTS0W1pm55yw59M3vXznA5jmQw-C99CiT2JOEk6Sz1NvtiGL4KaQ19k6+uYWoAiV3rdjnBapMUK41Jklnp9MwXohwZCABYlOHuV5oZhI9GIZiQHGKREzBodSrrQZSRbWUZjCYY1TE+Y1KHUlYaRkbcANbZc3bMBoHLANYG8iL886+BpXIXoG4yu7ih4glnZGG6OlwVxExVfPg-Zl1OAAxpLNltEnA0HwJQQjmuMkDcSUlXaMbjOElbVYLzzSoNX4jM0zH08n0+Zg+wXgH0in1i70SiPoaXR2W+H0KhNKqnZN05DVTBlJhBPP4YyGBlZtDMhJ3SQ0IfyI5hyeCE1Qm6lqqLB9iBOsQVtwQkQzu5t0Fr3gfxMjLwqa25gzjbPMGLrAz0uVloasJTmfxnOuice8szZe-efTJfsegDsuILzNrBD9sV6FqtrL8Mbvu+Ze1kMg7-Ji6hLHmk7rqmLB+gMGTbvYvYILBd6iEAA
13:39:10: [INFO] Adding track segment (B.Cu): [(274002500, 119122500), (276542500, 121662500)]
13:39:10: [INFO] Routing SW66 with D66
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW66:2' at (245427500, 113982500) with pad 'D66:2' at (247967500, 121662500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(245427500, 113982500), (245427500, 119122500)]
13:39:10: [INFO] Adding track segment (B.Cu): [(245427500, 119122500), (247967500, 121662500)]
13:39:10: [INFO] Routing SW65 with D65
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW65:2' at (171608750, 113982500) with pad 'D65:2' at (174148750, 121662500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(171608750, 113982500), (171608750, 119122500)]
13:39:10: [INFO] Adding track segment (B.Cu): [(171608750, 119122500), (174148750, 121662500)]
13:39:10: [INFO] Routing SW64 with D64
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW64:2' at (100171250, 113982500) with pad 'D64:2' at (102711250, 121662500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(100171250, 113982500), (100171250, 119122500)]
13:39:10: [INFO] Adding track segment (B.Cu): [(100171250, 119122500), (102711250, 121662500)]
13:39:10: [INFO] Routing SW63 with D63
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW63:2' at (76358750, 113982500) with pad 'D63:2' at (78898750, 121662500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(76358750, 113982500), (76358750, 119122500)]
13:39:10: [INFO] Adding track segment (B.Cu): [(76358750, 119122500), (78898750, 121662500)]
13:39:10: [INFO] Routing SW62 with D62
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW62:2' at (52546250, 113982500) with pad 'D62:2' at (55086250, 121662500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(52546250, 113982500), (52546250, 119122500)]
13:39:10: [INFO] Adding track segment (B.Cu): [(52546250, 119122500), (55086250, 121662500)]
13:39:10: [INFO] Routing SW61 with D61
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW61:2' at (345440000, 94932500) with pad 'D61:2' at (347980000, 102612500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(345440000, 94932500), (345440000, 100072500)]
13:39:10: [INFO] Adding track segment (B.Cu): [(345440000, 100072500), (347980000, 102612500)]
