=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATE3VgMxMmwKKRBQmswAs7fAFYJWAGwzkMgBwyAnDPqFaDRtqz02e+t2JQ+FKpREd64o9IC6WAFBgzZAUMHX6Bdr90EX0M4Xg9LK2wgrh53fi9vKPBfO2jpWl95DKxFbJVs9WzNf31A5P0Q8uNY0n4I8h99VKrHFzdapAToJJY-Wl6y3pCwuoj2AHc+egA6FkkemNMOzy9rXube9IRerO2c9l78vcK94v7Sg4rL6qXzFDRUCanp5Hnz+lbXEc6E604+hD-Mr-YZxCyWJ7wGavJL-EyhMErYSwrBbcD-Xbo-a0f5HLEnLFnQEXHFXUk3Ym2Gp3eqQuAzOYoj7gJxfRFdayiAHgLllLmg5a02iTKGzN4ILnwiAi+lipJctFczFc3II5Yc4V8FjyrBHaVauW0XlaNU0sY6gzsXnwnlNWIyhni23MhwOIA
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW62:2' at (324008750, 90170000) with pad 'D62:2' at (326548750, 97850000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(324008750, 90170000), (324008750, 95310000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(324008750, 95310000), (326548750, 97850000)]
13:40:45: [INFO] Routing SW61 with D61
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW61:2' at (302577500, 90170000) with pad 'D61:2' at (305117500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(302577500, 90170000), (302577500, 95310000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(302577500, 95310000), (305117500, 97850000)]
13:40:45: [INFO] Routing SW60 with D60
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW60:2' at (283527500, 90170000) with pad 'D60:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(283527500, 90170000), (283527500, 95310000)]
