=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DOBbWmAnAewBcB9AUwGMEFwNwB3fZAJnUwAsWl2BfBgE40CADoA7CVMkzpEigAZwAXTQAoMFHyskAdg7gAnvgW8DVfOADEu23fqZcl8AMwK0SjBAvxrVfwEuDAgeDuDudMEiYe6sYSFxDO4AzPFoqUloACxpOZkoaQWZAGwO3pZWAIbVNWHM8Kyu4Wi6cuLunpghumVa8Kb6DD6YVgGBTSHFbRG9w9Y1tU3urbLt0aoaENANegb1iKhNrKFe4HOjYxZNySeYx5GYNw-gx4mPaG8v6WE3GXfZPwBDGORXeoK+pVO5wW1TqPBQ1zQU1WIU64BuPVO2wO5gqdnsDH2bAM3AahLi8GQJIpiAYkBpAFpTPwGFkWm0QnQNppsTpBphoTC4ZTdk02Z1yr4LmMgph0Gi2c90M82Z90J82X9wOgtWy8nKgZg2eD0KDJSN8bZhXAdCyDcjpKjZhUYZVZdqWr1saZcVLLldWUiOet1JpBQtrcSmsUPG17s6-Zd3bpY6t41iTKghi6hYTtGZo6npMcJWcKv73THninnjHPinPjGtSmtTH9eAU+2Y+CU2ay1LXZHRQwY5DMDHMZgUz1uVt8-ymDw7eAABxFmQ3UtEgtCdcSTe9bfLtdiVYHqHlpN5+DFHeYNfJNrnuDm+a5zBHhEMNcoJ+3CCfk0wi-me-59HAPpAUiYRrpO4DCDOoZzpSK67AwbrwCmH5LiSmYLgAJvgJAEAArhQTQqEh4F8gYxjwEyWaYBhcBsthIpfvee7iE8YTCAof4PAB8JNCeAkJiMFbXnAugiekYkXgO76LuxUEgdIPGztRaGYHREFmFJUbflxNxvEJIrLnxf6mcpBzHiIVniX4V5sTad6rh8DmnIBRmPqB1n7DRslZJ5L79iMg4GW5P4hWZtkcfBaBqRuHyUZsWkLrpzJ7MJRn8aBWqWflh45Zxp7qd8CkSc5NnJLJrB-n8sW1UZwVFZVb4RpFdlJfuFWhd5mDAQ1KjKEAA
13:37:09: [INFO] Placing additional elements for SW70
13:37:09: [INFO] Placing additional elements for SW69
13:37:09: [INFO] Placing additional elements for SW68
13:37:09: [INFO] Placing additional elements for SW67a
13:37:09: [INFO] Placing additional elements for SW67
13:37:09: [INFO] Placing additional elements for SW66b
13:37:09: [INFO] Placing additional elements for SW66a
13:37:09: [INFO] Placing additional elements for SW66
13:37:09: [INFO] Placing additional elements for SW65a
13:37:09: [INFO] Placing additional elements for SW65
13:37:09: [INFO] Placing additional elements for SW64a
13:37:09: [INFO] Placing additional elements for SW64
13:37:09: [INFO] Placing additional elements for SW63a
13:37:09: [INFO] Placing additional elements for SW63
13:37:09: [INFO] Placing additional elements for SW62
13:37:09: [INFO] Placing additional elements for SW61
13:37:09: [INFO] Placing additional elements for SW60
13:37:09: [INFO] Placing additional elements for SW59
13:37:09: [INFO] Placing additional elements for SW58
13:37:09: [INFO] Placing additional elements for SW57
13:37:09: [INFO] Placing additional elements for SW56
13:37:09: [INFO] Placing additional elements for SW55
13:37:09: [INFO] Placing additional elements for SW54
13:37:09: [INFO] Placing additional elements for SW53
13:37:09: [INFO] Placing additional elements for SW52
13:37:09: [INFO] Placing additional elements for SW51
13:37:09: [INFO] Placing additional elements for SW50
13:37:09: [INFO] Placing additional elements for SW49
13:37:09: [INFO] Placing additional elements for SW48a
13:37:09: [INFO] Placing additional elements for SW48
13:37:09: [INFO] Placing additional elements for SW47
13:37:09: [INFO] Placing additional elements for SW46
13:37:09: [INFO] Placing additional elements for SW45
13:37:09: [INFO] Placing additional elements for SW44
13:37:09: [INFO] Placing additional elements for SW43
13:37:09: [INFO] Placing additional elements for SW42
13:37:09: [INFO] Placing additional elements for SW41
13:37:09: [INFO] Placing additional elements for SW40
13:37:09: [INFO] Placing additional elements for SW39
13:37:09: [INFO] Placing additional elements for SW38
13:37:09: [INFO] Placing additional elements for SW37
13:37:09: [INFO] Placing additional elements for SW36
13:37:09: [INFO] Placing additional elements for SW35
13:37:09: [INFO] Placing additional elements for SW34
13:37:09: [INFO] Placing additional elements for SW33
13:37:09: [INFO] Placing additional elements for SW32
13:37:09: [INFO] Placing additional elements for SW31
13:37:09: [INFO] Placing additional elements for SW30
13:37:09: [INFO] Placing additional elements for SW29
13:37:09: [INFO] Placing additional elements for SW28
13:37:09: [INFO] Placing additional elements for SW27
13:37:09: [INFO] Placing additional elements for SW26
13:37:09: [INFO] Placing additional elements for SW25
13:37:09: [INFO] Placing additional elements for SW24
13:37:09: [INFO] Placing additional elements for SW23
13:37:09: [INFO] Placing additional elements for SW22
13:37:09: [INFO] Placing additional elements for SW21
13:37:09: [INFO] Placing additional elements for SW20
13:37:09: [INFO] Placing additional elements for SW19
