=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:08: [INFO] Placing additional elements for SW44
13:30:08: [INFO] Placing additional elements for SW43
13:30:08: [INFO] Placing additional elements for SW42
13:30:08: [INFO] Placing additional elements for SW41
13:30:08: [INFO] Placing additional elements for SW40
13:30:08: [INFO] Placing additional elements for SW39
13:30:08: [INFO] Placing additional elements for SW38
13:30:08: [INFO] Placing additional elements for SW37
13:30:08: [INFO] Placing additional elements for SW36
13:30:08: [INFO] Placing additional elements for SW35
13:30:08: [INFO] Placing additional elements for SW34
13:30:08: [INFO] Placing additional elements for SW33
13:30:08: [INFO] Placing additional elements for SW32
13:30:08: [INFO] Placing additional elements for SW31
13:30:08: [INFO] Placing additional elements for SW30
13:30:08: [INFO] Placing additional elements for SW29
13:30:08: [INFO] Placing additional elements for SW28
13:30:08: [INFO] Placing additional elements for SW27
13:30:08: [INFO] Placing additional elements for SW26
13:30:08: [INFO] Placing additional elements for SW25
13:30:08: [INFO] Placing additional elements for SW24
13:30:08: [INFO] Placing additional elements for SW23
13:30:08: [INFO] Placing additional elements for SW22
13:30:08: [INFO] Placing additional elements for SW21
13:30:08: [INFO] Placing additional elements for SW20
13:30:08: [INFO] Placing additional elements for SW19
13:30:08: [INFO] Placing additional elements for SW18
13:30:08: [INFO] Placing additional elements for SW17
13:30:08: [INFO] Placing additional elements for SW16
13:30:08: [INFO] Placing additional elements for SW15
