=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxKY75YCMd4AulgFBhSxx6po0CeXALQ90NAMZdwAYhRz54bLgJ5icCJPgzxO3YpoFGJTvDo9qy+kWObc0gIaOna8AHcuCJbToBmNaS4eBAtwABZ6UOY2DjJuKhp3UyovOixVGylpXT0U+n8TODMkPFyGF1S6a3VwWxknZwSuOmSaCr9jWKCQisiWdgD4Lsak9C8ENPzarOzJMbyOrgBOFtxxsxc1o2qp+QVhxCRgud98zsO+XCn6x31ViKj+tw9zrx8JjK1p7NvwN62BuDLEJ-dLbTLXewuRKFXiveiMPoxJoANgEwlEwPofkREEE8BE532zRC4VUOIKdAu4DxcAJoxo4TKDKsLkZ2OiEAATk1xrhObFQrwaJyachgjRYkJmuLcDSpULLpkZrMDFh2pZIqq0C4CMiHkj8c16bhUlVwKl1easJqTVhteTJcS5mbxpbxjbwON7RyCvKSjQ3ma3pa3h63t7Ho7ihJwdcoU0VmFCJNMrs5PH4J5mTaNLH6j9whGONzDbzwPymtKqSKuG9cJLkGJZcJkFSpsqfgQUDqsOQe4se+sHcIfC9Wlg9ePu+O++OB+Ohz7JaP-XdJ3dp3dZ3cB8P8Y3MevflhN8ft8fd0uR4TFZ806foQevOF17nPhCMzCSVhd0wgA
13:31:15: [INFO] Adding track segment (B.Cu): [(222061530, 124921683), (223130195, 129949362)]
13:31:15: [INFO] Adding track segment (B.Cu): [(223130195, 129949362), (226142786, 131905761)]
13:31:15: [INFO] Routing SW60 with D60
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW60:2' at (172374848, 130121467) with pad 'D60:2' at (173262581, 138161735) using coordinate system rotated by 12.0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(172374848, 130121467), (171306181, 135149144)]
13:31:15: [INFO] Adding track segment (B.Cu): [(171306181, 135149144), (173262581, 138161735)]
13:31:15: [INFO] Routing SW59 with D59
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW59:2' at (144424280, 124180390) with pad 'D59:2' at (145312013, 132220658) using coordinate system rotated by 12.0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(144424280, 124180390), (143355613, 129208067)]
13:31:15: [INFO] Adding track segment (B.Cu): [(143355613, 129208067), (145312013, 132220658)]
13:31:15: [INFO] Routing SW58 with D58
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW58:2' at (111815284, 117249134) with pad 'D58:2' at (112703017, 125289402) using coordinate system rotated by 12.0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(111815284, 117249134), (110746617, 122276811)]
13:31:15: [INFO] Adding track segment (B.Cu): [(110746617, 122276811), (112703017, 125289402)]
13:31:15: [INFO] Routing SW57 with D57
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW57:2' at (50165000, 113982500) with pad 'D57:2' at (52705000, 121662500) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(50165000, 113982500), (50165000, 119122500)]
13:31:15: [INFO] Adding track segment (B.Cu): [(50165000, 119122500), (52705000, 121662500)]
13:31:15: [INFO] Routing SW56 with D56
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW56:2' at (350202500, 99695000) with pad 'D56:2' at (352742500, 107375000) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(350202500, 99695000), (350202500, 104835000)]
13:31:15: [INFO] Adding track segment (B.Cu): [(350202500, 104835000), (352742500, 107375000)]
13:31:15: [INFO] Routing SW55 with D55
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW55:2' at (314483750, 94932500) with pad 'D55:2' at (317023750, 102612500) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(314483750, 94932500), (314483750, 100072500)]
13:31:15: [INFO] Adding track segment (B.Cu): [(314483750, 100072500), (317023750, 102612500)]
13:31:15: [INFO] Routing SW54 with D54
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW54:2' at (288290000, 94932500) with pad 'D54:2' at (290830000, 102612500) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(288290000, 94932500), (288290000, 100072500)]
13:31:15: [INFO] Adding track segment (B.Cu): [(288290000, 100072500), (290830000, 102612500)]
13:31:15: [INFO] Routing SW53 with D53
13:31:15: [INFO] Using internal autorouter method
