=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppAjFgEzg4TTzLra4EXlklW33gAesOHgB01AKw5wAYyHgAxAENlKurgDOAWzlIA9ggD6aaRQrhW+Qp0pYOXa1zR41ELXPNT2Dqmb6D4ohIWBMT23IRqlnacVM5+QqKSuLLwCgDsGZkebDQuMnLy0kXF2ZYAzJEEACyVWOK1AGy1abUAHHn+cBQieBaScbiSvoO5UpIVY1g1k-V8KbhKKsqRAO5C1H1YaQ4hkZKtDtQR8QEiSfmphcVFpZINO7Z7Ww-DEPMKS8tSbql6hsamW5YA5hI7RMKcNBmAC6WAAUGALgtrjdvtpUpFGIhUJgpLFvKM4AwhMxcbgfATeESBAkxOd3oslqV8WEfJEKazHidhHSLCyYsdybYCQMIJ1ElI1vBuuI+YS3gUUbI5RMhdMhbMhU08VsOkJur0pA1BeBjcNTYSLaqLeqLZqLdrqVKumcLMaWnMCp9FKVje1YQiFZclZiSTiLEdQgKqcSmOGpGDKXrThIpAzvaVIwTzYnOa8aSnZQmrJyBuBcwLRQWeednd00kXcEcY0iFCGI1hrUdbUd7UdHeXddyDRY0iax+ax1TwGPrWPbWPNUGFpkspL1rypGOPdT059SmP-fDEQyQ1IsaSLGUS9G8hf47hr+CbC3xXS01791eb1w2VIn9myY8kE-4-jYZYAaWQESrgzrUJuj7yq2VzXKU162te9rXgO147uA17tMOPQWK0JqkeapHTqR1qkeqy4fPu67SiIDYkVgA6kXhpFHoGyFnrg94sFIVRgeELaCWS4Aic+YnQe+ySfkyFgiVGv5crg0mAdygSNlJomxJEmlQdpZxMS6IEaUhdYIXpqoQNZFl6XR4AObpIlLi5G6OSJO5ivqPRmfBrFSAAnOp9n+Y5YUtq5FhhXZ1aJHF7GRGFeFhf60JAA
13:36:03: [INFO] Placing additional elements for SW49
13:36:03: [INFO] Placing additional elements for SW48a
13:36:03: [INFO] Placing additional elements for SW48
13:36:03: [INFO] Placing additional elements for SW47
13:36:03: [INFO] Placing additional elements for SW46
13:36:03: [INFO] Placing additional elements for SW45
13:36:03: [INFO] Placing additional elements for SW44
13:36:03: [INFO] Placing additional elements for SW43
13:36:03: [INFO] Placing additional elements for SW42
13:36:03: [INFO] Placing additional elements for SW41
13:36:03: [INFO] Placing additional elements for SW40
13:36:03: [INFO] Placing additional elements for SW39
13:36:03: [INFO] Placing additional elements for SW38
13:36:03: [INFO] Placing additional elements for SW37
13:36:03: [INFO] Placing additional elements for SW36
13:36:03: [INFO] Placing additional elements for SW35
13:36:03: [INFO] Placing additional elements for SW34
13:36:03: [INFO] Placing additional elements for SW33
13:36:03: [INFO] Placing additional elements for SW32
13:36:03: [INFO] Placing additional elements for SW31
13:36:03: [INFO] Placing additional elements for SW30
13:36:03: [INFO] Placing additional elements for SW29
13:36:03: [INFO] Placing additional elements for SW28
13:36:03: [INFO] Placing additional elements for SW27
13:36:03: [INFO] Placing additional elements for SW26
13:36:03: [INFO] Placing additional elements for SW25
13:36:03: [INFO] Placing additional elements for SW24
13:36:03: [INFO] Placing additional elements for SW23
13:36:03: [INFO] Placing additional elements for SW22
13:36:03: [INFO] Placing additional elements for SW21
13:36:03: [INFO] Placing additional elements for SW20
13:36:03: [INFO] Placing additional elements for SW19
13:36:03: [INFO] Placing additional elements for SW18
13:36:03: [INFO] Placing additional elements for SW17
13:36:03: [INFO] Placing additional elements for SW16
13:36:03: [INFO] Placing additional elements for SW15
13:36:03: [INFO] Placing additional elements for SW14
13:36:03: [INFO] Placing additional elements for SW13
13:36:03: [INFO] Placing additional elements for SW12
13:36:03: [INFO] Placing additional elements for SW11
13:36:03: [INFO] Placing additional elements for SW10
13:36:03: [INFO] Placing additional elements for SW9
